timestamp,headline,description,source,url,ticker
2025-11-11 18:40:53+00:00,Justin Bieber's 'Mistletoe' Covered by ENHYPEN for 2025 Holidays,"Justin Bieber's ""Mistletoe"" was covered by ENHYPEN for the 2025 holiday season, as released exclusively through Apple Music.",Billboard,http://www.billboard.com/music/music-news/justin-bieber-mistletoe-enhypen-cover-1236110571/,AAPL
2025-11-11 18:40:53+00:00,"Unpacking All the Samsung Galaxy S26 Rumors: Release Date, Cameras, More","S26 leaks include Samsung potentially ditching the Edge, Perplexity AI integration, and better Qi2 wireless charging compatibility. Based on our experience, here's what we expect in early 2026.
Samsung usually unveils its flagship Galaxy S series smartphones …",PCMag.com,https://me.pcmag.com/en/mobile-phones/33382/unpacking-all-the-samsung-galaxy-s26-rumors-release-date-cameras-more,AAPL
2025-11-11 18:41:49+00:00,Apple gift guide 2025: Best deals and buying advice for every product,"As the holiday shopping season kicks into full swing, it’s important to make sure you’re buying the right Apple product and getting the best deal possible. Here’s everything you need to know about what to buy and how to score some big savings on the best Appl…",9to5Mac,https://9to5mac.com/2025/11/11/apple-gift-guide-deals/,AAPL
2025-11-11 18:45:00+00:00,"Bath and Body Works candles are buy one, get one free before Black Friday","Kickstart your holiday shopping, or just add two new candles to your own stash.",New York Post,https://nypost.com/2025/11/11/shopping/score-bogo-bath-and-body-works-candles-before-black-friday/,AAPL
2025-11-11 18:45:48+00:00,"Staples Canada Black Friday 2025: Save Big on Tech, Office, and More","Staples Canada is listing its early Black Friday sale on its website, offering major discounts across electronics, office gear, and home essentials. Shoppers can save up to $350 on laptops, headphones, and TVs, up to $150 on monitors, and up to $100 on printe…",iPhone in Canada,https://www.iphoneincanada.ca/2025/11/11/staples-canada-black-friday-2025-save-big-on-tech-office-and-more/,AAPL
2025-11-11 18:53:15+00:00,"Mamdani win spurs $100M Florida real estate rush as ‘nervous’ New Yorkers flee, developer says. Is the Big Apple over? - Yahoo Finance","Mamdani win spurs $100M Florida real estate rush as ‘nervous’ New Yorkers flee, developer says. Is the Big Apple over?Yahoo Finance Growing pains: How NYC’s left plans to take on city government under MamdaniPolitico Mamdani taps veteran civil servant Fuleiha…",Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=180049346,AAPL
2025-11-11 18:53:40+00:00,The Galaxy S26 battery upgrades have me stoked about the future of smartphones,"It's finally happening. Apple, Samsung, and Google have woken up to the importance of battery upgrades for their flagship phones.",PhoneArena,https://www.phonearena.com/news/galaxy-s26-battery-upgrades-have-me-stoked-about-the-future-of-smartphones_id175653,AAPL
2025-11-11 18:58:03+00:00,Emily Ratajkowski & Romain Gavras Spark Dating Rumors,"Supermodel Emily Ratajkowski and director Romain Gavras have everyone talking!
 The two sparked dating rumors after they were spotted getting cozy in New York City on Sunday in photos obtained by E! News.
 In a photo, Romain is seen wrapping his arms around E…",Extra,https://extratv.com/2025/11/11/emily-ratajkowski-and-romain-gavras-spark-dating-rumors/,AAPL
2025-11-11 18:59:00+00:00,"It’s Already Black Friday at OnePlus: Save Up to $200 on Smartphones, Tablets and Score Free Gifts",Why pay full price for a new state-of-the-art phone when these early Black Friday deals help you grab one for less?,CNET,https://www.cnet.com/deals/its-already-black-friday-at-oneplus-save-up-to-200-on-smartphones-tablets-and-score-free-gifts/,AAPL
2025-11-11 19:00:00+00:00,"Segway early Black Friday takes hundreds off EVs from $150, exclusive $1,082 savings on refurbished Anker SOLIX units, Jackery, more","If you didn’t know, today is Singles’ Day, and as such, our Green Deals edition has some great opportunities to celebrate and treat yourself with, starting at Segway’s early Black Friday Sale with up to 30% discounts on several e-scooters and e-bikes starting…",Electrek,http://electrek.co/2025/11/11/segway-early-black-friday-exclusive-anker-solix-jackery-more/,AAPL
2025-11-11 19:00:00+00:00,"Google's November Pixel Drop Adds Photo Remixing in Messages, Scam Protection and 'Wicked' Themes","The latest update brings Gemini-powered photo edits in Google Messages, smarter notifications and new anti-scam tools for Pixel phones.",CNET,https://www.cnet.com/tech/services-and-software/googles-november-pixel-drop-adds-photo-remixing-in-messages-scam-protection-and-new-wicked-theme-packs/,AAPL
2025-11-11 19:00:20+00:00,November Pixel Feature Drop is Here With 8 Sweet New Features,"Google released the November 2025 Pixel Feature Drop today, bringing with it at least 8 new features and arriving alongside the November Pixel update. This all seems about a month early as far as release timing, but we’ll take it and look for the new goodies …",Droid Life,https://www.droid-life.com/2025/11/11/november-pixel-feature-drop-features/,AAPL
2025-11-11 19:00:27+00:00,Apple’s most controversial AI feature is coming to Pixel phones,"November's Pixel Drop has arrived, and with it a bevy of new features, including one that will summarize you notifications.",Android Authority,https://www.androidauthority.com/pixel-phone-notification-summaries-3614058/,AAPL
2025-11-11 19:00:41+00:00,Jung Kyung-ho wakes up from his fairy tale in Pro Bono,"One decision can change everything as Jung Kyung-ho (Oh My Ghost Clients) learns his lesson the hard way in tvN’s upcoming legal drama Pro Bono. Making his grand entrance, judge Kang David (Jung Kyung-ho) struts into the courtroom with an air of confidence. W…",Dramabeans.com,https://dramabeans.com/2025/11/jung-kyung-ho-wakes-up-from-his-fairy-tale-in-pro-bono/,AAPL
2025-11-11 19:01:00+00:00,Google makes Pixel 10 Magic Cue ‘more timely’ with cloud-based ‘Private AI Compute’,"Alongside the November 2025 Feature Drop, Google announced Private AI Compute to make Magic Cue on the Pixel 10 more powerful while remaining secure.



 more…",9to5google.com,http://9to5google.com/2025/11/11/google-private-ai-compute-pixel/,AAPL
2025-11-11 19:01:53+00:00,"Google Pixel update adds battery-saving maps mode, AI photo remixing, and smarter notifications | TechCrunch","Google Pixel update adds battery-saving maps mode, AI photo remixing, and smarter notifications | TechCrunchtechcrunch.com",TechCrunch,https://techcrunch.com/2025/11/11/google-pixel-update-adds-battery-saving-maps-mode-ai-photo-remixing-and-smarter-notifications/,AAPL
2025-11-11 19:02:37+00:00,iPhone Pocket,"Apple Newsroom: ISSEY MIYAKE and Apple today unveiled iPhone Pocket. Inspired by the concept of “a piece of cloth,” its singular 3D-knitted construction is designed to fit any iPhone as well as all pocketable items. Beginning Friday, November 14, it will be a…",512pixels.net,https://512pixels.net/2025/11/iphone-pocket/,AAPL
2025-11-11 19:03:13+00:00,Pixel phones are getting notification summaries,"Google is releasing an update for Pixel phones with an interesting feature in the mix: notification summaries. Apple notably had plenty of trouble implementing its version of this AI-powered feature, and Google is taking a cautious first step by deploying it …",The Verge,https://www.theverge.com/tech/817644/pixel-update-notification-summaries-image-remix-messages,AAPL
